lat4,lon4,n_users_orig,n_stops_orig,n_pings_orig
55.9632,-3.2546,79086,384838,3879309
55.9335,-3.254,70394,402012,4218109
55.9144,-3.1637,41349,199041,2162658
55.9409,-3.2939,40028,232497,2498324
55.886,-3.3363,24751,133111,1519522
55.9477,-3.1624,22996,139327,1676324
55.9153,-3.1977,22134,115304,1122337
55.9552,-3.2,17864,64514,110900
55.9737,-3.2269,16379,95970,1134122
55.9062,-3.1305,15614,100035,1280248
55.981,-3.377,9119,55557,732293
55.9495,-3.1983,8426,98354,1521711
55.9757,-3.2217,7432,18840,212437
55.9521,-3.1965,6973,10562,115199
55.9044,-3.2003,6914,19334,220791
55.9326,-3.2531,6907,12270,135966
55.9622,-3.2606,6473,12704,137310
55.9503,-3.0908,6357,45663,534519
55.9489,-3.1632,6143,21407,164134
55.9425,-3.1293,5762,13345,183287
55.9197,-3.1459,5719,15328,177712
55.9429,-3.285,5616,10781,115421
55.9059,-3.2605,4903,21171,218002
55.8844,-3.3398,3990,8905,93721
55.951,-3.1972,3937,27913,70035
55.9052,-3.2005,3883,8240,98522
55.9321,-3.1414,2934,7771,83211
55.9425,-3.1363,2189,4634,25625
55.953,-3.4033,2023,7945,86045
55.894,-3.3128,1722,4443,42222
55.9147,-3.2046,1400,3319,29639
55.9084,-3.128,1340,3591,35732
55.95,-3.2,900,1845,2628
55.9665,-3.2973,874,3795,7542
55.9074,-3.2561,751,2016,24279
55.9303,-3.3956,737,2823,24210
55.9129,-3.1609,636,1490,15086
55.93,-3.25,288,701,910
55.8833,-3.3333,261,596,7463
55.9698,-3.1491,231,1090,1435
55.9,-3.2,195,444,480
55.91,-3.16,146,293,410
55.8862,-3.3377,135,300,3858
55.9231,-3.3842,129,354,2351
55.94,-3.16,128,248,341
55.96,-3.25,126,235,331
55.9357,-3.382,125,332,2071
55.94,-3.29,113,183,261
55.9356,-3.2773,112,551,5220
55.8833,-3.3833,104,270,3686
55.95,-3.19,103,136,147
55.9216,-3.3803,100,335,5493
